%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=214675, 2023/10/9 16:50:38.76)
225 2026 2.028039e-02 0 0 3.730820e-06 2.081374e-04 2.422039e-04 1.219929e-05 
226 2035 2.409282e-02 0 0 4.668972e-06 2.589000e-04 2.910280e-04 1.467760e-05 
227 2044 2.593816e-02 0 0 5.966506e-06 3.299035e-04 3.729469e-04 1.905558e-05 
228 2053 2.542594e-02 0 0 5.638242e-06 3.140119e-04 3.540404e-04 1.805669e-05 
229 2062 2.128064e-02 0 0 4.493792e-06 2.512011e-04 2.823183e-04 1.443935e-05 
230 2071 1.913653e-02 0 0 3.823387e-06 2.160164e-04 2.425257e-04 1.244633e-05 
231 2080 1.782306e-02 0 0 3.361477e-06 1.912643e-04 2.154070e-04 1.104678e-05 
232 2089 1.634230e-02 0 0 3.014084e-06 1.706271e-04 1.953040e-04 9.949884e-06 
233 2098 1.493411e-02 0 0 2.798611e-06 1.552485e-04 1.759523e-04 9.060719e-06 
234 2107 1.410036e-02 0 0 2.549273e-06 1.422341e-04 1.625069e-04 8.383021e-06 
235 2116 1.184405e-02 0 0 2.046687e-06 1.152618e-04 1.322322e-04 6.792269e-06 
236 2125 1.116439e-02 0 0 1.904158e-06 1.062937e-04 1.246027e-04 6.325752e-06 
237 2134 1.110347e-02 0 0 1.879693e-06 1.005013e-04 1.187757e-04 5.992965e-06 
238 2143 1.004417e-02 0 0 1.620229e-06 8.677027e-05 1.025201e-04 5.170788e-06 
239 2152 1.285991e-02 0 0 1.959350e-06 1.072831e-04 1.278594e-04 6.341070e-06 
240 2161 1.439053e-02 0 0 2.129346e-06 1.220648e-04 1.466580e-04 7.140262e-06 
241 2170 1.646969e-02 0 0 2.608541e-06 1.390243e-04 1.658729e-04 8.230770e-06 
242 2179 1.565025e-02 0 0 2.383051e-06 1.255065e-04 1.495310e-04 7.435889e-06 
243 2188 1.528511e-02 0 0 2.300341e-06 1.228243e-04 1.435941e-04 7.321977e-06 
244 2197 1.294083e-02 0 0 1.877039e-06 1.009064e-04 1.186929e-04 6.009223e-06 
245 2206 1.295473e-02 0 0 1.782259e-06 9.677461e-05 1.139159e-04 5.738884e-06 
246 2215 1.264396e-02 0 0 1.658872e-06 8.945924e-05 1.050539e-04 5.289777e-06 
247 2224 1.080497e-02 0 0 1.356926e-06 7.385297e-05 8.681285e-05 4.337648e-06 
248 2233 9.425351e-03 0 0 1.134580e-06 6.319640e-05 7.305096e-05 3.676293e-06 
249 2242 9.878325e-03 0 0 1.138378e-06 6.333119e-05 7.327071e-05 3.751265e-06 
250 2251 9.316789e-03 0 0 1.015405e-06 5.636066e-05 6.554167e-05 3.359805e-06 
251 2260 7.333561e-03 0 0 7.575163e-07 4.211705e-05 4.897223e-05 2.508931e-06 
252 2269 7.074820e-03 0 0 6.903219e-07 3.957840e-05 4.628050e-05 2.381331e-06 
253 2278 7.232774e-03 0 0 6.865682e-07 3.894761e-05 4.606452e-05 2.383505e-06 
254 2287 7.589727e-03 0 0 6.967583e-07 3.860343e-05 4.584339e-05 2.371423e-06 
255 2296 7.122428e-03 0 0 6.163726e-07 3.434888e-05 4.094049e-05 2.127704e-06 
256 2305 6.191453e-03 0 0 5.345928e-07 3.002679e-05 3.546494e-05 1.845966e-06 
257 2314 5.190903e-03 0 0 4.435439e-07 2.422259e-05 2.864885e-05 1.493187e-06 
258 2323 4.279031e-03 0 0 3.506548e-07 1.907679e-05 2.251548e-05 1.174406e-06 
259 2332 4.176627e-03 0 0 3.423137e-07 1.805092e-05 2.165090e-05 1.120488e-06 
260 2341 4.043956e-03 0 0 3.431696e-07 1.736156e-05 2.077892e-05 1.081258e-06 
261 2350 3.763228e-03 0 0 3.229252e-07 1.632955e-05 1.920242e-05 1.023566e-06 
262 2359 3.043861e-03 0 0 2.507352e-07 1.278949e-05 1.493503e-05 8.020421e-07 
263 2368 2.950584e-03 0 0 2.365103e-07 1.172785e-05 1.368264e-05 7.368841e-07 
264 2377 3.069363e-03 0 0 2.361127e-07 1.160019e-05 1.347492e-05 7.282062e-07 
265 2386 2.560027e-03 0 0 1.868360e-07 9.121939e-06 1.061328e-05 5.729248e-07 
266 2395 2.133719e-03 0 0 1.482954e-07 7.201457e-06 8.357263e-06 4.528181e-07 
267 2404 2.283648e-03 0 0 1.526588e-07 7.688400e-06 8.756696e-06 4.671184e-07 
268 2413 2.341464e-03 0 0 1.729735e-07 8.712580e-06 9.767097e-06 5.351657e-07 
269 2422 2.647006e-03 0 0 2.124915e-07 1.023393e-05 1.119309e-05 6.136105e-07 
270 2431 2.479301e-03 0 0 1.893059e-07 9.103410e-06 9.952803e-06 5.452490e-07 
271 2440 2.464482e-03 0 0 1.908158e-07 8.951586e-06 9.830270e-06 5.396055e-07 
272 2449 2.257777e-03 0 0 1.670343e-07 7.733491e-06 8.499938e-06 4.666224e-07 
